"pathway","pval","padj","log2err","ES","NES","size"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.867574257425743,0.9530022955177,0.0298484971250709,0.268879084201969,0.727745407030038,34
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.0294867190503268,0.098611322725683,0.352487857583619,-0.245795425328127,-1.15106298205486,236
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.962605548854041,1,0.0230116943194552,0.216534492362183,0.600164662702467,40
"KEGG_DILATED_CARDIOMYOPATHY",0.00256373191641961,0.0197358985264,0.431707695803346,-0.368948323179079,-1.5131987689044,87
"KEGG_DNA_REPLICATION",0.0202530902232953,0.0794544308760045,0.352487857583619,0.558932923562768,1.53226136138956,36
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.637931034482759,0.821556598821077,0.109684061970549,-0.274706006031142,-0.88992197644182,23
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",7.59461903174516e-10,1.54930228247601e-07,0.801215574617779,-0.648798502928377,-2.50677875708233,62
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",8.56902020388508e-05,0.00174808012159256,0.538434096309916,-0.541041820353567,-2.05037828116016,46
"KEGG_ECM_RECEPTOR_INTERACTION",0.816901408450704,0.929167794843644,0.0261139619405561,0.262966435086131,0.800473741706967,83
"KEGG_ENDOCYTOSIS",6.62481421703626e-06,0.000270292420055079,0.610526878385931,-0.358984592403567,-1.58265178957922,180
"KEGG_ENDOMETRIAL_CANCER",0.321678321678322,0.532596768701048,0.208955027549354,-0.281182943484181,-1.07850440983905,52
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.716981132075472,0.873218811602365,0.159646701919906,-0.222152147316681,-0.868154237181302,67
"KEGG_ERBB_SIGNALING_PATHWAY",0.00155506380182484,0.0134992772583943,0.45505986738723,-0.376804195175001,-1.54541871702741,87
"KEGG_ETHER_LIPID_METABOLISM",0.0751737962560585,0.192938169661695,0.287805130535564,-0.373590910095883,-1.31803351647467,33
"KEGG_FATTY_ACID_METABOLISM",0.000133448093622097,0.00237722416267988,0.518848077743792,-0.541528341532719,-2.00881176098389,42
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.0517633132014619,0.147688334169206,0.321775918075361,-0.316962194108599,-1.26920095187926,77
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.000117915021487086,0.00229092041746339,0.538434096309916,-0.408719189367052,-1.7173673606708,95
"KEGG_FOCAL_ADHESION",0.00484363914193111,0.0304031503062753,0.407017918923954,-0.281897708083742,-1.26977284464936,197
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.417525773195876,0.633273291687426,0.154190966581424,-0.286643370019775,-1.01247289472558,34
"KEGG_GALACTOSE_METABOLISM",0.00203561330715124,0.0169495965166879,0.431707695803346,-0.571254571496331,-1.90183168740989,25
"KEGG_GAP_JUNCTION",0.0197094498390812,0.0780723838285934,0.352487857583619,-0.323044258635466,-1.32686786427166,88
"KEGG_GLIOMA",0.754716981132076,0.902404861951903,0.155241966228839,-0.222107077164814,-0.85590233961544,65
"KEGG_GLUTATHIONE_METABOLISM",0.00293918347492928,0.0218033974140208,0.431707695803346,-0.43934108688524,-1.64366361755052,44
"KEGG_GLYCEROLIPID_METABOLISM",0.868327402135231,0.9530022955177,0.0276588991389961,0.256768968153712,0.732977291975931,47
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.116075033536296,0.262846219097542,0.287805130535564,-0.294364011697079,-1.17871181733719,77
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.0711898497366462,0.185002921608609,0.287805130535564,-0.407927871375751,-1.42123932192816,31
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.000831332976207324,0.00827277693396557,0.477270815362862,-0.445291374648992,-1.71797019619979,59
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",1,1,0.0813027345384498,-0.146638773786056,-0.469106467700717,22
